,药品名称,指导价,成分,性状,适应症,用法用量,禁忌,注意事项,特殊人群用药,通用名称,用法,剂型,成分明细,功效或适应症,特殊人群,商品名称
5838,"通用名称：兰索拉唑肠溶胶囊
                                
商品名称：达克普隆                                
英文名称：Lansoprazole Enteric-coated Capsules                                
汉语拼音：Lansuolazuo Jiaonang",124.3,"本品主要成份为：兰索拉唑。其化学名称为：（&plusmn;）-2[[[3-甲基-4-（2,2,2-三氟乙氧基）-2-吡啶基]甲基]亚硫酰基]苯并咪唑。",本品为白色胶囊，内容物为白色或类白色肠溶球状颗粒。,胃溃疡、十二指肠溃疡、返流性食道炎、Zollinger-Ellison症候群、吻合口部溃疡。,十二指肠溃疡，通常成人每日一次，口服兰索拉唑15mg～30mg，连续服用4～6周；胃溃疡、反流性食管炎、卓-艾综合征（Zollinger-Ellison症候群）、吻合口部溃疡，通常成人每日一次，口服兰索拉唑30mg，连续服用6～8周。但用做维持治疗、高龄者、有肝功能障碍、肾功能低下的患者，每日一次，口服兰索拉唑15mg。,对本制剂成份有过敏史者禁用。,"1.下列患者慎重用药：
1）曾发生过药物过敏症的患者。
2）肝功能障碍的患者（导致药物代谢、排泄时间延长）
3）老年患者（见[老年患者用药]）
2.重要的注意事项
1）在治疗过程肿，应充分观察，按其症状使用治疗上所需最小剂量。
2）对于胃溃疡、十二指肠溃疡和吻合口溃疡，由于缺乏足够的长期使用经验，建议不要使用本品进行维持治疗。
3）维持治疗仅限于反复发作和复发性反流性食道炎，如果经30mg/日或15mg/日治疗的患者症状长期缓解，减量或停药不会造成复发，应减量至15mg/日或停药。维持治疗期间建议定期内窥","儿童注意事项：
                                    
对儿童用药的安全性尚未确立（由于在小儿的临床经验极少）。                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
1.已确认兰索拉唑在大白鼠胎仔的血浆浓度比在母鼠中高，又在兔子（经口给药30mg/kg）的实验发现胎仔死亡率增加,故对孕妇或有可能怀孕的妇女，需事先判断治疗上的益处超过危险性时，方可用药。
2.曾有报告指出，在动物实验（大白鼠）中本品会转移到乳汁中。所以本药品不适合用于正在哺乳期中的妇女。如不得已需服药时，应避免哺乳。                                    
                                    
                                    老人注意事项：
                                    
一般而言，老年患者的胃酸分泌能力和其他生理机能均会降低，故应慎重使用，如从较低剂量开始。",兰索拉唑肠溶胶囊,['口服'],"['颗粒剂', '胶囊剂', '软膏剂']",{"兰索拉唑"},"{""胃溃疡"",""十二指肠溃疡"",""返流性食道炎"",""Zollinger-Ellison症候群"",""吻合口部溃疡""}","{""忌用人群"":[""孕妇"",""哺乳期妇女""], ""禁用人群"":[""对本制剂成份有过敏史者""], ""慎用人群"":[""曾发生过药物过敏症的患者"",""肝功能障碍的患者"",""老年患者"",""儿童""]}",达克普隆
5839,"通用名称：兰索拉唑肠溶片
                                
商品名称：兰悉多                                
英文名称：Lansoprazole Enteric-coated Tablets                                
汉语拼音：Lan suo la zuo Pian",15.9,"本品主要成份为：兰索拉唑。其化学名称为：2-[[[3-甲基-4-（2,2,2－三氟乙氧基）-2-吡啶基]甲基]-亚磺酰基]-1H-苯并咪唑。",本品为白色肠溶片，除去肠溶衣后显白色或类白色。,胃溃疡、十二指肠溃疡、反流性食管炎、佐-艾（Zollinger-Ellison）综合征（胃泌素瘤）。,治疗胃溃汤和十二指肠溃疡，每日清晨口服1次，一次15～30mg，或遵医嘱。,孕妇、哺乳期妇女忌用。,尚无儿童用药经验。,"儿童注意事项：
                                    
对儿童用药的安全性尚未确立（小儿的临床经验极少）。                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
孕妇、哺乳期妇女忌用。                                    
                                    
                                    老人注意事项：
                                    
一般而言，老年患者的胃酸分泌能力和其他生理机能均会降低，用药期间请注意观察。",兰索拉唑肠溶片,['口服'],['片剂'],{"兰索拉唑"},"{""胃溃疡"",""十二指肠溃疡"",""反流性食管炎"",""佐-艾（Zollinger-Ellison）综合征（胃泌素瘤）""}","{""忌用人群"":[""孕妇"",""哺乳期妇女""], ""禁用人群"":[""孕妇"",""哺乳期妇女""], ""慎用人群"":[]}",兰悉多
5840,"通用名称：马来酸曲美布汀片
                                
商品名称：舒丽启能                                
英文名称：Trimebutine Maleate Tablets                                
汉语拼音：Malaisuanqumeibuting Pian",18.8,本品主要成份为马来酸曲美布汀。,外观为白色结晶或结晶性粉末，无嗅、苦味。极易溶于甲酸，易溶于冰醋酸和氯仿，可溶于甲醇和乙腈，难溶于水。,用于胃肠道功能紊乱引起的食欲不振、恶心、呕吐、嗳气、腹胀、腹痛、腹泻、便秘等症状的改善。亦可用于肠道易激惹综合征。,成人口服，每次0.1～0.2g，一日3次，根据年龄、症状适当增减剂量，或遵医嘱。,对马来酸曲美布汀过敏者禁用。,出现皮疹患者应停药观察。,"儿童注意事项：
                                    
儿童慎用。                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
孕妇、哺乳期的妇女慎用。                                    
                                    
                                    老人注意事项：
                                    
通常老年人生理机能较弱，需注意减量用药。",马来酸曲美布汀片,['口服'],"['粉剂', '片剂', '液体剂型']",{"马来酸曲美布汀"},"{""胃肠道功能紊乱"",""食欲不振"",""恶心"",""呕吐"",""嗳气"",""腹胀"",""腹痛"",""腹泻"",""便秘"",""肠道易激惹综合征""}","{""忌用人群"":[], ""禁用人群"":[""对马来酸曲美布汀过敏者""], ""慎用人群"":[""儿童"",""孕妇"",""哺乳期的妇女"",""老年人""]}",舒丽启能
5841,"通用名称：双歧杆菌三联活菌胶囊
                                
商品名称：培菲康                                
英文名称：Live Combined Bifidobacterium，Lactobacillus and Enterococcus Capsules,Oral                                
汉语拼音：Koufu Shuangqiganjun Shisuanruganjun Changqiujunsanlianhuojun Jiaonang",30.5,本品为复方制剂，每粒含长型双歧杆菌、嗜酸乳杆菌，粪肠球菌。辅料为：预胶化淀粉、乳糖、纯化水。,胶囊内药粉为白色或黄色粉末。,主治因肠道菌群失调引起的急慢性腹泻、便秘，也可用于治疗中型急性腹泻，慢性腹泻及消化不良、腹胀。,口服，成人一次2-4粒，一日2次。,尚不明确。,"1.本品为活菌制剂，应冷藏保存。
2.儿童用量请咨询医师或药师，婴幼儿服用时可将胶囊内容物用温水或温牛奶冲服。
3.避免与抗菌药同服。
4.对本品过敏者禁用，过敏体质者慎用。
5.本品性状发生改变时禁止使用。
6.请将本品放在儿童不能接触的地方。
7.儿童必须在成人监护下使用。
8.如正在使用其他药品，使用本品前请咨询医师或药师。","儿童注意事项：
                                    
未进行该项实验且无可靠的参考文献。                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
尚不明确。                                    
                                    
                                    老人注意事项：
                                    
未进行该项实验且无可靠的参考文献。",双歧杆菌三联活菌胶囊,['口服'],"['粉剂', '胶囊剂', '软膏剂']","{""长型双歧杆菌"",""嗜酸乳杆菌"",""粪肠球菌"",""预胶化淀粉"",""乳糖"",""纯化水""}","{""肠道菌群失调引起的急慢性腹泻"",""肠道菌群失调引起的便秘"",""中型急性腹泻"",""慢性腹泻"",""消化不良"",""腹胀""}","{""忌用人群"":[],""禁用人群"":[""对本品过敏者""],""慎用人群"":[""过敏体质者""]}",培菲康
5842,"通用名称：糖脉康颗粒
                                
商品名称：升和                                
英文名称：TangMaiKangKeLi(ShengHe)                                
汉语拼音：Tang Mai Kang Ke Li",42,主要成分为黄芪、生地黄、赤芍、丹参、牛膝、麦冬、黄精等。,本品为黄棕色至棕褐色的颗粒，气微香，味微苦。,养阴清热，活血化瘀，益气固肾。用于气阴两虚血瘀所致的口渴喜饮，倦怠乏力，气短懒言，自汗，盗汗，五心烦热，胸中闷痛，肢体麻木或刺痛，便秘，糖尿病Ⅱ型及并发症见上述症候者。,口服。一次1袋，一日3次。,尚不明确。,"1.心绞痛和/或心肌梗死：罕见。有严重的阻塞性冠状动脉疾病的患者，在开始应用钙通道拮抗剂治疗或加量时，会出现心绞痛发作频率、时程和/或严重性上升，或发展为急性心肌梗死，机制不明。
2.低血压：由于本品逐渐产生扩血管作用，口服一般很少出现急性低血压。但本品与其它外周扩血管药物合用时仍需谨慎，特别是对于有严重主动脉瓣狭窄的病人。
3.心力衰竭患者：钙通道阻滞剂应慎用于心衰患者。
4.肝功能不全患者：严重肝功能不全患者应慎用本品。
5.肾功能衰竭患者：肾衰患者的起始剂量可以不变。
6.停用-阻滞剂：本品对突然停","妊娠与哺乳期注意事项：
                                    
孕妇慎服或遵医嘱。",糖脉康颗粒,['口服'],"['中药剂型', '颗粒剂', '气雾剂']","{""黄芪"",""生地黄"",""赤芍"",""丹参"",""牛膝"",""麦冬"",""黄精""}","{""养阴清热"",""活血化瘀"",""益气固肾"",""口渴喜饮"",""倦怠乏力"",""气短懒言"",""自汗"",""盗汗"",""五心烦热"",""胸中闷痛"",""肢体麻木或刺痛"",""便秘"",""糖尿病Ⅱ型及并发症""}","{""忌用人群"":[], ""禁用人群"":[], ""慎用人群"":[""严重阻塞性冠状动脉疾病患者"",""严重主动脉瓣狭窄病人"",""心力衰竭患者"",""严重肝功能不全患者"",""孕妇""]}",升和
5843,"通用名称：健胃愈疡片
                                
商品名称：九芝堂                                
英文名称：JianWeiYuYangPian(JiuZhiTang)                                
汉语拼音：Jianwei Yuyang Pian",26.2,白及、白芍、柴胡、党参、甘草、青黛、延胡萦、珍珠层粉。,本品为素片薄膜包衣片，素片或除去包衣后的片心显灰褐黑色；气微，味苦。,疏肝健脾，解痉止痛，止血生肌。主治肝郁脾虚、肝胃不和型消化性溃疡活动期，症见胃脘胀痛、嗳气吐酸、烦燥不食、腹胀便溏等。,口服。一次4～5片，一日4次。,尚不明确。,请遵医嘱。,,健胃愈疡片,['口服'],"['片剂', '膜剂', '气雾剂']","{""白及"",""白芍"",""柴胡"",""党参"",""甘草"",""青黛"",""延胡萦"",""珍珠层粉""}","{""疏肝健脾"",""解痉止痛"",""止血生肌"",""肝郁脾虚、肝胃不和型消化性溃疡活动期"",""胃脘胀痛"",""嗳气吐酸"",""烦燥不食"",""腹胀便溏""}","{""忌用人群"":[], ""禁用人群"":[], ""慎用人群"":[]}",九芝堂
5844,"通用名称：四消丸
                                
商品名称：立效                                
英文名称：SiXiaoWan(LiXiao)                                
汉语拼音：Sixiao Wan",6.3,大黄、猪芽皂、牵牛子、牵牛子、香附、槟榔、五灵脂。,本品为黄褐色的水丸；气微，味苦。,消水、消痰、消食、滞气，导滞通便。用于一切气食痰水，停积不化，胸脘饱闷，腹胀疼痛，大便秘结。,口服。一次30～60粒(每20粒重1克)，一日2次。,孕妇忌服。,身体虚弱，脾虚便泻，有外感冒者和孕妇忌用。,"妊娠与哺乳期注意事项：
                                    
孕妇忌服。",四消丸,['口服'],"['中药剂型', '液体剂型', '气雾剂']","{""大黄"",""猪芽皂"",""牵牛子"",""香附"",""槟榔"",""五灵脂""}","{""消水"",""消痰"",""消食"",""滞气"",""导滞通便"",""气食痰水"",""停积不化"",""胸脘饱闷"",""腹胀疼痛"",""大便秘结""}","{""忌用人群"":[""孕妇"",""身体虚弱者"",""脾虚便泻者"",""有外感冒者""], ""禁用人群"":[""孕妇""], ""慎用人群"":[]}",立效
5845,"通用名称：三七化痔丸
                                
商品名称：白云山                                
英文名称：SanQiHuaZhiWan(BaiYunShan)                                
汉语拼音：SanQi Huazhi Wan",9.6,"盐肤木,岗稔子,勒苋菜,千里光,白茅根,三七",本品为黑色的浓缩包衣水丸；味涩。,清热解毒，止血止痛。用于外痔清肠解毒；内痔出血脱肛，消肿止痛，收缩脱肛。,口服。一次3克(约五分之二瓶盖)，一日2-3次。,尚不明确。,戒食煎炒燥热、刺激性食物（公鸡、鲤鱼、辛辣、油炸等物）。,,三七化痔丸,['口服'],"['中药剂型', '液体剂型']","{""盐肤木"",""岗稔子"",""勒苋菜"",""千里光"",""白茅根"",""三七""}","{""清热解毒"",""止血止痛"",""外痔清肠解毒"",""内痔出血脱肛"",""消肿止痛"",""收缩脱肛""}","{""忌用人群"":[], ""禁用人群"":[], ""慎用人群"":[]}",白云山
5846,"通用名称：酪酸梭菌活菌片
                                
商品名称：常立宁                                
英文名称：Clostridium butyricum Tablets, Live                                
汉语拼音：Koufu Laosuansuojun Huojun Pian",20,本品每片含酪酸梭菌活菌数不低于5.25×106(6为上标)CFU。辅料为：微晶纤维素、葡萄糖、硬脂酸镁、羧甲淀粉钠。,本品为白色或灰白色片剂，间有灰黄色色斑。味微甜。,因肠道菌群紊乱引起的各种消化道症状及相关的急、慢性腹泻和消化不良等。,口服，成人，一次2片，一天3次；儿童，一次1片，一天2－3次。用温开水送服。急性腹泻，疗程3～7天；慢性腹泻，疗程14～21天。幼儿可直接嚼服，或碾碎后溶于温水或牛奶中冲服。,对微生态制剂有过敏史者禁用。,1 本品为活菌制剂，切勿将本品置于高温处。2 病史长、症状重的患者可延长用药时间。3 避免与抗菌药物同服。4 孕妇及哺乳期妇女请在医师指导下服用。5 对本品过敏者禁用，过敏体质者慎用。6 本品性状发生改变时禁止使用。7 请将本品放在儿童不能接触的地方。8 儿童必须在成人监护下使用。9 如正在使用其他药品，使用本品前请咨询医师或药师,"儿童注意事项：
                                    
尚不明确。                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
尚不明确。                                    
                                    
                                    老人注意事项：
                                    
尚不明确。",酪酸梭菌活菌片,"['口服', '冲服', '嚼服']",['片剂'],"{""酪酸梭菌"",""微晶纤维素"",""葡萄糖"",""硬脂酸镁"",""羧甲淀粉钠""}","{""各种消化道症状"",""急、慢性腹泻"",""消化不良""}","{""忌用人群"":[], ""禁用人群"":[""对微生态制剂有过敏史者"",""对本品过敏者""], ""慎用人群"":[""过敏体质者"",""孕妇"",""哺乳期妇女""]}",常立宁
5847,"通用名称：雷贝拉唑钠肠溶胶囊
                                
商品名称：济诺                                
英文名称：Rabeprazole Sodium Enteric-coated Capsules                                
汉语拼音：Leibeilazuona Changrongjiaonang",31.1,本品主要成份为雷贝拉唑钠。,本品为肠溶胶囊剂，内容物为类白色包衣微丸,胃溃疡、十二指肠溃疡、吻合口溃疡、反流性食管炎、卓-艾（Zollinger-Ellison）综合征（胃泌素瘤）。,通常，成人每日口服10mg（1粒），根据病情也可每日口服1次20mg（2粒）。在一般情况下，胃溃疡、吻合口溃疡、反流性食管炎的给药以8周为限、十二指肠溃疡的给药以6周为限。,禁用于对雷贝拉唑钠或处方中任何辅料有过敏的患者。,"1.下列患者应谨慎使用： 
（1）有药物过敏史的患者 
（2）肝功能障碍的患者[肝硬化患者有导致精神神经系统不良反应的报告（参照“不良反应”项）] 
（3）高龄患者[参照“老年用药”项] 
2.重要的基本注意事项 
给予本药时，在病情严重及属于复发性、顽固性病例的情况下，可以一日1次给予20mg。 
3.有关适应症的注意事项 
使用本药时有可能掩盖由胃癌引起的症状，故应在确诊是非恶性肿瘤的前提下再行给药。 
4.有关用法用量的使用时注意事项 
治疗时应密切观察其临床动态，根据病情将用药量控制在治疗所需的最","儿童注意事项：
                                    
目前尚无儿童服用本品的安全性和有效性资料。                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
1.对于孕妇或有可能妊娠的妇女，只有在其治疗有益性大于危险性的前提下方可使用。
2.本品可能通过乳汁分泌，故避免用于哺乳期妇女，不得已而必须用药时，则应暂停给婴儿哺乳。                                    
                                    
                                    老人注意事项：
                                    
临床研究表明，未见65岁以上患者与年轻患者在疗效与安全性方面有差异，但不排除某些老年患者的敏感性更强。由于本药主要在肝脏代谢，而老年患者肝功能低下者居多，有时可出现不良反应。因此，当出现消化系统不良反应(参照“不良反应”项)时，应谨慎给与，必要时应停止用药。",雷贝拉唑钠肠溶胶囊,['口服'],"['中药剂型', '胶囊剂', '软膏剂']",{"雷贝拉唑钠"},"{""胃溃疡"",""十二指肠溃疡"",""吻合口溃疡"",""反流性食管炎"",""卓-艾（Zollinger-Ellison）综合征（胃泌素瘤）""}","{""忌用人群"":[""哺乳期妇女""], ""禁用人群"":[""对雷贝拉唑钠或处方中任何辅料有过敏的患者""], ""慎用人群"":[""有药物过敏史的患者"",""肝功能障碍的患者"",""肝硬化患者"",""高龄患者"",""孕妇""]}",济诺
5848,"通用名称：美辛唑酮红古豆醇酯栓
                                
商品名称：志速宁                                
英文名称：Indometacin,Furazolidone and Cuscohygrinolis α-Acetylbenzoacetate Suppositories                                
汉语拼音：Meixinzuotong honggudouchunzhi Shuan",16.2,"本品为复方制剂,其组分为：每粒含吲哚美辛75mg,呋喃唑酮0.1g,红古豆醇酯5mg，颠茄流浸膏30mg。","本品为黄色栓剂,具有冰片的特臭,贮存后表面有少量晶状物析出。",适用于内痔、外痔；肛门肿胀、瘘管、肛裂等肛肠疾病及痔瘘手术后止痛。,一天1～2次，每次1粒，临睡前或大便后塞入肛门。使用时戴塑料指套，而后洗手。,1?青光眼患者禁用。2?对本品及组分过敏者禁用。,1.如本品稍有变形变软不影响疗效，可冷却后使用；天气寒冷时可稍沾温水后使用。2.前列腺肥大者慎用。3.心脏病、高血压、心动过速、胃肠道阻滞性疾病患者慎用。,"儿童注意事项：
                                    
未进行该项实验且无可靠参考文献。                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
未进行该项实验且无可靠参考文献。                                    
                                    
                                    老人注意事项：
                                    
未进行该项实验且无可靠参考文献。",美辛唑酮红古豆醇酯栓,['直肠给药'],"['片剂', '栓剂']","{""吲哚美辛"",""呋喃唑酮"",""红古豆醇酯"",""颠茄流浸膏""}","{""内痔"",""外痔"",""肛门肿胀"",""瘘管"",""肛裂"",""肛肠疾病"",""痔瘘手术后止痛""}","{""忌用人群"":[], ""禁用人群"":[""青光眼患者"",""对本品及组分过敏者""], ""慎用人群"":[""前列腺肥大者"",""心脏病患者"",""高血压患者"",""心动过速患者"",""胃肠道阻滞性疾病患者""]}",志速宁
5849,"通用名称：比沙可啶肠溶片
                                
商品名称：便塞停                                
英文名称：Bisacodyl Enteric-coated Tablets                                
汉语拼音：Bishakeding Changrong Pian",36.6,本品每片含主要成分比沙可啶5毫克。,本品为肠溶衣片，除去肠衣后显白色。,用于急、慢性便秘和习惯性便秘。,口服。成人一次1-2片，一日1次。整片吞服。,"1. 对本品过敏者禁用；
2. 疑有阑尾炎，胃肠炎，直肠出血及肠道梗阻之急腹症患者禁用。",l 对本品过敏者禁用；2 在服药时不得咀嚼或压碎，服药前2小时不得服牛奶成抗酸药；3 急腹症禁用；4 孕妇慎用；5 儿童用量请咨询医师或药师。,"儿童注意事项：
                                    
6岁以下儿童禁用。                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
孕妇禁用。                                    
                                    
                                    老人注意事项：
                                    
尚不明确。",比沙可啶肠溶片,['口服'],['片剂'],{"比沙可啶"},"{""急、慢性便秘"",""习惯性便秘""}","{""忌用人群"":[""孕妇""], ""禁用人群"":[""对本品过敏者"",""疑有阑尾炎，胃肠炎，直肠出血及肠道梗阻之急腹症患者"",""6岁以下儿童""], ""慎用人群"":[""孕妇""]}",便塞停
5850,"通用名称：重组人干扰素α2b喷雾剂(假单胞菌)
                                
商品名称：捷抚                                
英文名称：Recombinant Human Interferon α2b Spray （P.putida）                                
汉语拼音：Chongzu Ren Ganraosu α 2b Penwuji",35.6,重组人干扰素α2b,本品为无色或微黄色，略带粘稠的液体制剂。,用于由病毒引起的初发或复发性皮肤单纯疱疹（口唇疱疹、生殖器疱疹）；也可用于尖锐湿疣的辅助治疗。,喷涂患处，每次1-2喷（如创口面积较大，也可喷涂多次以能覆盖整个创面为宜），每日三次。口唇疱疹及生殖器疱疹连续用药一周，尖锐湿疣连续用药六周。,已知对重组人干扰素α2b及本品成分过敏者禁用本品。,1.治疗口唇疱疹及生殖器疱疹，本品为非首选药。2.对于患处有溃疡或继发细菌感染的病人可配合使用抗菌药物。3.育龄女性及男性使用本品必须采取有效的避孕措施。4.本品应在常温环境下携带和使用，避免高温。,尚不明确。,重组人干扰素α2b喷雾剂(假单胞菌),"['外用', '喷雾']","['液体剂型', '喷雾剂']",{"重组人干扰素α2b"},"{""皮肤单纯疱疹（口唇疱疹、生殖器疱疹）"",""尖锐湿疣""}","{""忌用人群"":[],""禁用人群"":[""对重组人干扰素α2b及本品成分过敏者""],""慎用人群"":[""育龄女性"",""育龄男性""]}",捷抚
5851,"通用名称：酪酸梭菌活菌胶囊
                                
商品名称：米桑                                
英文名称：Clostridum Butyricum Capsule                                
汉语拼音：Laosuan Suojun Huojun Jiaonang",14.2,本品主要成分为酪酸梭菌活菌，有效期内每粒胶囊内含酪酸梭菌活菌≥1×107CFU。,胶囊内为白色或微黄色粉末，微腥气味。,本品用于治疗非细菌感染性肠道菌群失调引起的急性腹泻。,口服，通常成人一日3次，每次2粒，连服4-14天为一个疗程。,无特别禁忌症,1.用冷、温开水送服；2.本品不宜与抗生素同时服用3.药物开启后应防吸潮和受热。,"儿童注意事项：
                                    
12岁以下儿童用药一日3次，每次1粒；婴幼儿用药遵医嘱（可倒出药粉、温水吞服）。                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
尚不明确。                                    
                                    
                                    老人注意事项：
                                    
老年患者用药无影响。",酪酸梭菌活菌胶囊,['口服'],"['粉剂', '胶囊剂', '气雾剂', '软膏剂']",{"酪酸梭菌活菌"},"{""非细菌感染性肠道菌群失调"",""急性腹泻""}","{""忌用人群"":[], ""禁用人群"":[], ""慎用人群"":[]}",米桑
5852,"通用名称：奥美拉唑肠溶片
                                
商品名称：兰尼                                
英文名称：Omeprazole Enteric-coated Tablets                                
汉语拼音：Aomeilazuo changrongpian",15,奥美拉唑,本品为肠溶包衣片，除去肠溶衣后显类白色。,适用于胃溃疡、十二指肠溃疡、应激性溃疡、反流性食管炎和卓-艾综合征（胃泌素瘤）。,口服，不可咀嚼。（1）消化性溃疡：一次20mg（一次1片），一日1～2次。每日晨起吞服或早晚各一次，胃溃疡疗程通常为4～8周，十二指肠溃疡疗程通常2～4周。（2）反流性食管炎：一次20～60?mg（一次1～3片），一日1～2次。晨起吞服或早晚各一次，疗程通常为4～8周。（3）卓-艾综合征：一次60mg（一次3片），一日1次，以后每日总剂量可根据病情调整为20～120mg（1～6片），若一日总剂量需超过80mg（4片）时，应分为两次服用。,对本品过敏者、严重肾功能不全者及婴幼儿禁用。,1 治疗胃溃疡时，应首先排除溃疡型胃癌的可能，因用本品治疗可减轻其症状，从而延误治疗。 2 肝肾功能不全者慎用。 3 本品为肠溶片，服用时请注意不要嚼碎，以防止药物颗粒过早在胃内释放而影响疗效。,"儿童注意事项：
                                    
　　婴幼儿禁用。                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
孕期、哺乳期妇女慎用。                                    
                                    
                                    老人注意事项：
                                    
未进行该项实验且无可靠参考文献。",奥美拉唑肠溶片,"['口服', '嚼服']",['片剂'],{"奥美拉唑"},"{""胃溃疡"",""十二指肠溃疡"",""应激性溃疡"",""反流性食管炎"",""卓-艾综合征（胃泌素瘤）""}","{""忌用人群"":[],""禁用人群"":[""对本品过敏者"",""严重肾功能不全者"",""婴幼儿""],""慎用人群"":[""肝肾功能不全者"",""孕妇"",""哺乳期妇女""]}",兰尼
5853,"通用名称：儿滞灵冲剂
                                
商品名称：正堂                                
英文名称：ErZhiLingChongJi(ZhengTang)                                
汉语拼音：Erzhiling Chongji",50.7,小槐花广山楂茯苓槟榔,本品为浅黄棕色的块状冲剂；味甜、微酸。,消食健脾，清热导滞。用于小儿疳积、纳差、腹胀、腹痛、泻下、发热、精神怠倦、消瘦、面黄、毛发枯焦等以及小儿单纯性消化不良具有上述证候者。,用开水冲服。一岁至三岁一次1块，四岁至六岁一次1－块，一日2～3次。,尚不明确。,请遵医嘱。,,儿滞灵冲剂,['冲服'],['颗粒剂'],"{""小槐花"",""广山楂"",""茯苓"",""槟榔""}","{""消食健脾"",""清热导滞"",""小儿疳积"",""纳差"",""腹胀"",""腹痛"",""泻下"",""发热"",""精神怠倦"",""消瘦"",""面黄"",""毛发枯焦"",""小儿单纯性消化不良""}","{""忌用人群"":[], ""禁用人群"":[], ""慎用人群"":[]}",正堂
5854,"通用名称：猴耳环消炎颗粒
                                
商品名称：莱泰                                
英文名称：HouErHuanXiaoYanKeLi(LaiTai)                                
汉语拼音：HouErHuanXiaoYanKeLi(LaiTai)",33,猴耳环。,本品为浅棕色至灰棕色颗粒，味甜。,清热解毒，凉血消肿，止泻。用于上呼吸道感染，急性咽喉炎，急性扁桃体炎，急性胃肠炎，亦可试用于细菌性痢疾。,开水冲服，一次2袋，一日3次。 儿童剂量建议：1岁以下半袋，1~3岁2/3袋，4~7岁1袋，8~14岁4/3袋，15岁以上2袋。,尚不明确。,"尚不明确。
请仔细阅读说明书并遵医嘱使用。",,猴耳环消炎颗粒,['冲服'],['颗粒剂'],{"猴耳环"},"{""清热解毒"",""凉血消肿"",""止泻"",""上呼吸道感染"",""急性咽喉炎"",""急性扁桃体炎"",""急性胃肠炎"",""细菌性痢疾""}","{""忌用人群"":[], ""禁用人群"":[], ""慎用人群"":[]}",莱泰
5855,"通用名称：健胃消食口服液
                                
商品名称：济川                                
英文名称：JianWeiXiaoShiKouFuYe(JiChuan)                                
汉语拼音：Jianwei Xiaoshi Koufuye",35.5,太子参、陈皮、山药、麦芽（炒）、山楂。,本品为黄棕色的澄清液体，久置可有少量轻摇易散的沉淀；气香，味酸甜。,健胃消食。用于脾胃虚弱所致的食积，症见不思饮食、嗳腐酸臭、脘腹胀满；消化不良见上述证候者。,口服。每次10毫升，每日2次，在餐间或饭后服。2周为一疗程,尚不明确。,"1.饮食宜清淡，忌食辛辣、生冷、油腻食物。

2.孕妇及哺乳期妇女慎用。

3.胃阴虚者不宜用，其表现为口干欲饮、大便干结、小便短少。

4.有高血压、心脏病、肝病、糖尿病、肾病等慢性病严重者应在医师指导下服",,健胃消食口服液,['口服'],"['中药剂型', '液体剂型', '气雾剂']","{""太子参"",""陈皮"",""山药"",""麦芽（炒）"",""山楂""}","{""健胃消食"",""脾胃虚弱"",""食积"",""不思饮食"",""嗳腐酸臭"",""脘腹胀满"",""消化不良""}","{""忌用人群"":[""胃阴虚者""], ""禁用人群"":[], ""慎用人群"":[""孕妇"",""哺乳期妇女"",""高血压、心脏病、肝病、糖尿病、肾病等慢性病严重者""]}",济川
